filename, none, some, many, few, alternate
smallworld-50-1.txt, -1, False, NP-HARD, 2, True
wall-n-1.txt, 1, False, NP-HARD, 0, False
wall-n-10.txt, 1, False, NP-HARD, 0, False
wall-n-100.txt, 1, False, NP-HARD, 0, False
wall-n-1000.txt, 1, False, NP-HARD, 0, False
wall-n-10000.txt, 1, False, NP-HARD, 0, False
wall-n-2.txt, 1, False, NP-HARD, 0, False
wall-n-3.txt, 1, False, NP-HARD, 0, False
wall-n-4.txt, 1, False, NP-HARD, 0, False
wall-p-1.txt, 1, False, NP-HARD, 0, False
wall-p-10.txt, 1, False, NP-HARD, 0, False
wall-p-100.txt, 1, False, NP-HARD, 0, False
wall-p-1000.txt, 1, False, NP-HARD, 0, False
wall-p-10000.txt, 1, False, NP-HARD, 0, False
wall-p-2.txt, 1, False, NP-HARD, 0, False
wall-p-3.txt, 1, False, NP-HARD, 0, False
wall-p-4.txt, 1, False, NP-HARD, 0, False
wall-z-1.txt, 1, False, NP-HARD, 0, False
wall-z-10.txt, 1, False, NP-HARD, 0, False
wall-z-100.txt, 1, False, NP-HARD, 0, False
wall-z-1000.txt, 1, False, NP-HARD, 0, False
wall-z-10000.txt, 1, False, NP-HARD, 0, False
wall-z-2.txt, 1, False, NP-HARD, 0, False
wall-z-3.txt, 1, False, NP-HARD, 0, False
wall-z-4.txt, 1, False, NP-HARD, 0, False
